runtime,revenue,budget,imdb_score,average_director_score,average_actor_score,average_genre_score
145.0,132014112.0,102000000.0,7.7,7.480769230769232,6.512005108556832,6.330589830413574
174.0,261970615.0,100000000.0,7.4,6.654545454545455,6.823055555555555,6.369918555722735
144.0,167007184.0,150000000.0,8.0,6.711111111111111,7.144444444444445,6.331770412448081
119.0,180011740.0,100000000.0,5.7,6.93125,5.942222222222223,6.319282354790606
153.0,204843350.0,102000000.0,8.5,7.914285714285714,7.106111111111111,6.260857052747772
140.0,97030725.0,100000000.0,7.0,7.083333333333333,6.907433217189314,6.802577426030972
176.0,130127620.0,100000000.0,7.8,7.070588235294117,6.588541666666667,6.8262416927964695
141.0,146282411.0,115000000.0,7.2,7.914285714285714,5.931481481481481,6.249795622110614
106.0,65452312.0,100000000.0,6.4,6.791666666666668,6.5652083333333335,6.37297768028283
98.0,148383780.0,100000000.0,5.5,6.016666666666666,6.421604938271606,6.322916449517059
116.0,119219978.0,100000000.0,6.7,6.916666666666668,6.414311594202899,6.333311183728488
115.0,101228120.0,100000000.0,6.1,5.8999999999999995,6.153240740740741,6.451075917187248
165.0,162804648.0,100000000.0,8.5,8.2,7.414141414141414,6.72672662528118
91.0,100117603.0,100000000.0,6.9,6.85,6.46875,6.508602692386643
78.0,89296573.0,100000000.0,7.3,6.666666666666667,6.583333333333333,6.352910601447581
103.0,85017401.0,92000000.0,6.7,6.025,6.493687084520418,6.331770412448081
131.0,173005002.0,100000000.0,6.9,6.5,6.45764705882353,6.321553338547233
104.0,75030163.0,100000000.0,5.1,5.1,6.3311111111111105,6.308292536642076
101.0,77222184.0,100000000.0,6.8,7.575,6.809523809523809,6.439259187950954
111.0,34964818.0,150000000.0,5.8,6.637499999999999,6.122222222222223,6.331091407630313
102.0,107515297.0,100000000.0,6.7,6.866666666666667,6.34,6.392326820185545
103.0,67631157.0,100000000.0,6.0,6.833333333333333,6.521323327079425,6.33490943745817
121.0,66862068.0,83000000.0,5.7,5.483333333333333,6.338492063492063,6.21922123175352
143.0,57366262.0,100000000.0,8.0,7.324999999999999,6.770252525252526,6.506392614193252
240.0,116866727.0,100000000.0,8.2,7.659999999999999,6.9430587930587935,6.668492701221284
121.0,184031112.0,100000000.0,5.4,6.407692307692307,5.772962962962963,6.329371733837786
129.0,54700065.0,105000000.0,7.2,6.716666666666666,6.307407407407408,6.530712213568937
172.0,27098580.0,102000000.0,7.5,7.220000000000001,7.120158730158731,6.522790355365529
101.0,55673333.0,80000000.0,7.0,7.175000000000001,6.673611111111111,6.361840640883909
87.0,40198710.0,100000000.0,3.3,3.3,5.546111111111112,6.375313878742951
101.0,72660029.0,100000000.0,6.0,6.409999999999999,6.140273132664437,6.340533010592745
95.0,38120554.0,140000000.0,7.1,7.3999999999999995,7.026384142173616,6.386019070558123
102.0,49392095.0,100000000.0,5.4,6.2,6.229166666666667,6.306078001940679
131.0,39292022.0,90000000.0,6.1,6.1,6.6431411075089235,6.331770412448081
114.0,28772222.0,105000000.0,5.3,5.3,6.406666666666667,6.431244249223112
94.0,17010646.0,84000000.0,2.2,3.7,4.0285714285714285,6.249116617292846
122.0,24985612.0,100000000.0,7.0,6.93076923076923,6.796666666666667,6.665469882324724
95.0,4411102.0,100000000.0,3.8,5.5,6.104126984126984,6.2389866106637575
115.0,35024475.0,100000000.0,6.9,7.585714285714287,6.958771929824562,6.597081550990065
88.0,130174897.0,99000000.0,7.2,6.9,7.400000000000001,6.3643759567275096
110.0,10200000.0,10000000.0,7.3,7.05,6.706666666666667,6.521469248357209
130.0,202007640.0,98000000.0,6.3,6.075,6.106223358908782,6.325590104418028
